TF	target	importance
BACH2	LRRN3	43.09822068042396
MLLT3	CDK6	43.09216598342976
HDAC9	NCF1	43.0605717071213
LEF1	PRKCQ	43.06021703347398
NEAT1	NCOA1	43.01051844757866
KLF4	DUSP1	43.00061063851849
PAX5	SPIB	42.96233116822289
EIF2AK2	IFIT3	42.94620138836208
BCL11A	TCF4	42.89079759237627
MEF2C	CYBB	42.85375689456819
NEAT1	KLF6	42.85235747943118
CEBPB	CD68	42.84744905315675
CREB5	PTAFR	42.83032873128919
ZEB2	BACH1	42.80120320577681
CREB5	RIPK2	42.76951821267325
KLF4	ZFHX3	42.750924934111204
TCF7L2	CD68	42.71148768387059
GATA3	ITGB1	42.60678516322033
SETBP1	HLA-DPB1	42.59816972528385
KLF4	ADGRE5	42.53608276363435
ZEB2	IFI16	42.52632802067521
BCL11A	EBF1	42.52217533530806
KLF4	JAK2	42.51165376950933
CREB5	IL15	42.47557359349402
TCF4	CYP46A1	42.47114390670799
BACH1	IL15	42.425139404068204
NEAT1	POU2F2	42.392403154731845
NEAT1	RASGEF1B	42.386354883777685
BACH2	ZEB2	42.37645737844319
RORA	KLF12	42.34688703325349
EOMES	A2M	42.28623004002941
NEAT1	LRBA	42.275571403486815
JUN	CD69	42.25894483731274
ZEB2	NR3C2	42.185034136818956
PAX5	HLA-DQB1	42.166809403534295
NEAT1	ADAM10	42.148417252069734
BCL11A	MEF2C	42.13435878869922
NEAT1	POLK	42.119177791390975
BACH2	ATM	42.10861861375041
